B2,B3,B4,B8,B11,B12,NDVI,NDWI,NDBI,BSI,class,year,label,random
0.0308,0.0556,0.0274,0.2978,0.1382,0.0564,0.8314883,-0.6853424,-0.36605504,-0.329826,1,2024,vegetasi,0.555826333796746
0.0303,0.0465,0.0259,0.2824,0.13695,0.0587,0.83198184,-0.71723926,-0.3468463,-0.31510884,1,2024,vegetasi,0.8634340407083154
0.0414,0.0662,0.0296,0.3868,0.1587,0.0655,0.85782903,-0.70772624,-0.41814846,-0.38913217,1,2024,vegetasi,0.6421269737633069
0.0255,0.0412,0.02,0.2962,0.1449,0.056,0.8734978,-0.7557795,-0.34300616,-0.32223594,1,2024,vegetasi,0.5049565781030695
0.0233,0.0502,0.02,0.3608,0.1588,0.0629,0.89495796,-0.75571775,-0.38876057,-0.3647184,1,2024,vegetasi,0.9882912009151725
0.0301,0.05745,0.02345,0.3698,0.17435,0.07295,0.8807374,-0.7310708,-0.35918406,-0.33812952,1,2024,vegetasi,0.18520014846844457
0.0861,0.1217,0.1231,0.3374,0.26885,0.17,0.46536374,-0.46983227,-0.11307215,-0.038690284,1,2024,vegetasi,0.15771864844392802
0.0263,0.04885,0.02085,0.3098,0.14815,0.06135,0.87388474,-0.72758955,-0.35298613,-0.3308256,1,2024,vegetasi,0.6619955033148595
0.0281,0.0456,0.0216,0.2798,0.1522,0.0636,0.8566689,-0.71972954,-0.29537037,-0.27838904,1,2024,vegetasi,0.12975472719075865
0.024,0.0475,0.0232,0.2802,0.1181,0.0496,0.8470666,-0.7101007,-0.40697965,-0.36565655,1,2024,vegetasi,0.08412973041672189
0.0369,0.0652,0.0331,0.3872,0.1498,0.0643,0.8424935,-0.7117595,-0.44208565,-0.39736408,1,2024,vegetasi,0.297141426720119
0.0248,0.04665,0.0223,0.3556,0.1542,0.06365,0.88197935,-0.76805466,-0.39505687,-0.36613396,1,2024,vegetasi,0.8005456226870373
0.0332,0.058,0.0264,0.4428,0.1838,0.0749,0.88746804,-0.7683706,-0.41334185,-0.38735062,1,2024,vegetasi,0.9666209247001442
0.02735,0.0542,0.0228,0.3178,0.13425,0.05835,0.8661186,-0.70860213,-0.40603915,-0.37455195,1,2024,vegetasi,0.6501849105861852
0.0338,0.0576,0.0265,0.3924,0.1549,0.0645,0.8734782,-0.744,-0.43394846,-0.40289664,1,2024,vegetasi,0.45472168983490313
0.0483,0.0767,0.0522,0.304,0.2264,0.1189,0.7069062,-0.59705806,-0.14630465,-0.11681723,1,2024,vegetasi,0.7767564444191963
0.0272,0.054,0.0255,0.3824,0.1501,0.0608,0.87496936,-0.7525206,-0.43624416,-0.39986333,1,2024,vegetasi,0.2027715301416284
0.0228,0.0403,0.0202,0.2684,0.1452,0.0649,0.86001384,-0.7389051,-0.29787236,-0.2755147,1,2024,vegetasi,0.5426833096708369
0.0331,0.0693,0.03045,0.3548,0.183,0.0773,0.84192085,-0.67319024,-0.3194496,-0.29009727,1,2024,vegetasi,0.4516579869140571
0.02475,0.04395,0.0173,0.3348,0.14165,0.05935,0.90173244,-0.7679208,-0.40539405,-0.38688523,1,2024,vegetasi,0.8022241249614904
0.033,0.0402,0.0198,0.3104,0.1447,0.0579,0.8800727,-0.7706789,-0.3640958,-0.3522347,1,2024,vegetasi,0.8343085447761457
0.03355,0.059,0.0299,0.3294,0.2033,0.09205,0.8335653,-0.6961895,-0.23671861,-0.21764657,1,2024,vegetasi,0.5858157413381038
0.0273,0.0542,0.0195,0.424,0.1906,0.0796,0.9120631,-0.7733166,-0.3797592,-0.36468098,1,2024,vegetasi,0.9201445797041065
0.2802,0.2758,0.3086,0.3062,0.2981,0.2491,-0.003903726,-0.052233692,-0.013403944,0.017014502,0,2024,non_vegetasi,0.745333147828915
0.0905,0.1026,0.113,0.2008,0.2188,0.1745,0.27979606,-0.32366514,0.04289798,0.06499758,0,2024,non_vegetasi,0.8797069794045925
0.1911,0.1888,0.2604,0.2525,0.29175,0.2537,-0.015402612,-0.14434622,0.07211762,0.10901332,0,2024,non_vegetasi,0.11578538676326022
0.0954,0.1092,0.1197,0.1843,0.20235,0.153,0.21250002,-0.25587735,0.046683047,0.070378065,0,2024,non_vegetasi,0.5567477287930984
0.0534,0.0703,0.0592,0.2752,0.1972,0.1264,0.64593303,-0.5930536,-0.16511433,-0.123418815,0,2024,non_vegetasi,0.3342342027321018
0.0761,0.0847,0.0872,0.213,0.1832,0.1314,0.41905397,-0.43097076,-0.075214535,-0.033422694,0,2024,non_vegetasi,0.1942074441101691
0.1153,0.1236,0.1222,0.1862,0.2446,0.2003,0.20752269,-0.20206584,0.13556176,0.09771062,0,2024,non_vegetasi,0.9302703344652702
0.3057,0.2905,0.2939,0.3283,0.27625,0.23175,0.055287667,-0.061085995,-0.086097084,-0.053024944,0,2024,non_vegetasi,0.7889218658359434
0.2377,0.2395,0.2697,0.3624,0.2827,0.2393,0.14665402,-0.20418674,-0.12354673,-0.04138829,0,2024,non_vegetasi,0.4685046334398878
0.118,0.1384,0.166,0.2244,0.2452,0.2012,0.14959018,-0.23704518,0.044293005,0.0912951,0,2024,non_vegetasi,0.33646349164758427
0.0531,0.0614,0.0916,0.1352,0.2015,0.1686,0.19223984,-0.37538147,0.19691122,0.2176984,0,2024,non_vegetasi,0.8095868254701343
0.2311,0.2481,0.2661,0.2587,0.44245,0.4703,-0.014100565,-0.020915579,0.26206943,0.18254264,0,2024,non_vegetasi,0.3971069955199322
0.1301,0.1826,0.2217,0.3242,0.3552,0.27105,0.18776333,-0.27940014,0.045628477,0.118890606,0,2024,non_vegetasi,0.5152977581583915
0.071,0.0902,0.0894,0.2314,0.2232,0.1759,0.44264337,-0.43905473,-0.018037846,0.016585356,0,2024,non_vegetasi,0.8336094909382153
0.0628,0.0946,0.1088,0.21,0.2605,0.1956,0.3174404,-0.3788575,0.10733267,0.15028815,0,2024,non_vegetasi,0.8590277385633737
0.0553,0.08125,0.1095,0.2527,0.2316,0.15175,0.3953617,-0.5134002,-0.043568034,0.05099368,0,2024,non_vegetasi,0.9812013023780514
0.0798,0.09625,0.2075,0.248,0.3846,0.3551,0.088913284,-0.44081336,0.21593426,0.28731385,0,2024,non_vegetasi,0.47400728631090716
0.0424,0.058,0.0496,0.2364,0.1939,0.1407,0.65314686,-0.60597825,-0.09876828,-0.067585655,0,2024,non_vegetasi,0.9372111699314423
0.0423,0.0696,0.0737,0.2498,0.20855,0.1414,0.54435855,-0.5641828,-0.0899967,-0.0171498,0,2024,non_vegetasi,0.1372865164541227
0.0637,0.0895,0.0987,0.2804,0.32765,0.22555,0.47929308,-0.51608545,0.077707425,0.1067558,0,2024,non_vegetasi,0.3795982588996677
0.0696,0.089,0.0672,0.2656,0.2249,0.1777,0.59615386,-0.49802592,-0.08297653,-0.068707146,0,2024,non_vegetasi,0.33549129200098504
0.0707,0.0913,0.08205,0.244,0.17495,0.1185,0.49670294,-0.45541304,-0.1648168,-0.10092705,0,2024,non_vegetasi,0.9051456411365665
0.1406,0.1428,0.1312,0.2178,0.2195,0.1804,0.24813755,-0.2079867,0.003887489,-0.01085883,0,2024,non_vegetasi,0.428231815558753
0.0251,0.0484,0.0221,0.3708,0.1492,0.079,0.8875032,-0.769084,-0.4261538,-0.39598024,0,2024,non_vegetasi,0.8934386916376255
0.07085,0.1169,0.0986,0.3442,0.32845,0.23645,0.5546522,-0.49295163,-0.023414839,0.014250101,0,2024,non_vegetasi,0.5618099486812861
0.199,0.1682,0.1864,0.2812,0.2419,0.1942,0.20273738,-0.25144637,-0.07512903,-0.057127133,0,2024,non_vegetasi,0.9030467578263937
0.0347,0.0374,0.0463,0.1004,0.1886,0.1389,0.3687798,-0.45718434,0.30519032,0.26972973,0,2024,non_vegetasi,0.9716091103306049
0.0345,0.0468,0.0344,0.237,0.1408,0.0816,0.7464996,-0.6701903,-0.2546321,-0.21558093,0,2024,non_vegetasi,0.012727986188896923
0.1975,0.2672,0.3036,0.3974,0.5514,0.4232,0.1338088,-0.19590731,0.1623103,0.1793917,0,2024,non_vegetasi,0.6917098028243304
0.0914,0.0958,0.0871,0.255,0.24495,0.20005,0.49079216,-0.45381984,-0.020102007,-0.02115115,0,2024,non_vegetasi,0.5998864176194882
0.0586,0.0672,0.0692,0.1998,0.1903,0.1357,0.48550186,-0.49662924,-0.024352722,0.0021239694,0,2024,non_vegetasi,0.1675693387223316
0.1007,0.1167,0.1128,0.2524,0.2197,0.1631,0.3822563,-0.36765105,-0.06926502,-0.030046694,0,2024,non_vegetasi,0.6221262528969496
0.0686,0.0613,0.089,0.1356,0.2989,0.2532,0.20747995,-0.37734893,0.37583432,0.31025165,0,2024,non_vegetasi,0.15301832704559426
0.03995,0.05355,0.0732,0.1741,0.21645,0.15985,0.40800646,-0.52954096,0.108436845,0.15008937,0,2024,non_vegetasi,0.12110127348700128
0.1291,0.1594,0.1845,0.2649,0.2608,0.22655,0.17890522,-0.24864483,-0.007799115,0.06112237,0,2024,non_vegetasi,0.46913186436363263
0.1524,0.1776,0.1838,0.312,0.3936,0.3437,0.258572,-0.27450982,0.115646236,0.108466096,0,2024,non_vegetasi,0.08158285430571888
0.128,0.1262,0.135,0.1986,0.2533,0.238,0.19064745,-0.22290637,0.12104452,0.0863058,0,2024,non_vegetasi,0.6479458095680284
0.0662,0.0894,0.098,0.2086,0.2234,0.1849,0.36073062,-0.4,0.034259252,0.07816168,0,2024,non_vegetasi,0.46381381148301604
0.14,0.1504,0.1516,0.2242,0.2317,0.1873,0.19318785,-0.19701014,0.016450994,0.025551854,0,2024,non_vegetasi,0.4784876870855037
0.096,0.1154,0.1144,0.1742,0.2312,0.1998,0.2072072,-0.20303866,0.14060187,0.12244234,0,2024,non_vegetasi,0.47031777386317997
0.198,0.1999,0.2197,0.2051,0.2506,0.2547,-0.0343691,-0.012839503,0.09984641,0.0769407,0,2024,non_vegetasi,0.3976511168839756
0.1929,0.1895,0.1908,0.2161,0.26835,0.27755,0.062177464,-0.06558186,0.10785426,0.057766505,0,2024,non_vegetasi,0.8843945185388294
0.1707,0.157,0.1483,0.2114,0.22195,0.20985,0.17542395,-0.14766558,0.0243452,-0.015750647,0,2024,non_vegetasi,0.4944139367556978
0.2308,0.2498,0.2633,0.2841,0.31815,0.29295,0.037997797,-0.06424424,0.056538012,0.060701434,0,2024,non_vegetasi,0.43182979523000675
0.0719,0.0938,0.09,0.2296,0.20365,0.1602,0.43679598,-0.4199134,-0.059896134,-0.01318995,0,2024,non_vegetasi,0.913074280755003
0.159,0.1818,0.2124,0.3948,0.3185,0.3229,0.30039525,-0.36940688,-0.106967606,-0.021111814,0,2024,non_vegetasi,0.41432348856114054
0.08615,0.1208,0.1792,0.229,0.2802,0.1824,0.12199904,-0.30931962,0.100549884,0.18623717,0,2024,non_vegetasi,0.9100807120661639
0.0966,0.1454,0.15,0.1814,0.1774,0.1429,0.09474953,-0.110159114,-0.011148294,0.08159893,0,2024,non_vegetasi,0.20034659599231763
0.06445,0.07205,0.1106,0.135,0.20285,0.19395,0.099348545,-0.30403286,0.20082875,0.22226553,0,2024,non_vegetasi,0.21937963886781975
0.133,0.1168,0.1371,0.179,0.281,0.27945,0.13255301,-0.21027721,0.2217391,0.14532253,0,2024,non_vegetasi,0.7290488519997557
0.0922,0.1126,0.1194,0.1468,0.1876,0.161,0.102930106,-0.1318427,0.12200958,0.12454213,0,2024,non_vegetasi,0.9825189906986682
0.1229,0.1344,0.1449,0.1423,0.20265,0.19305,-0.009052923,-0.028550778,0.1749529,0.13439412,0,2024,non_vegetasi,0.6043554823310543
0.06,0.07165,0.0888,0.1623,0.21425,0.17405,0.2927121,-0.38747597,0.13796307,0.15370704,0,2024,non_vegetasi,0.4652456904723241
0.0928,0.0908,0.1364,0.1884,0.2673,0.2441,0.16009852,-0.34957018,0.17314024,0.17885824,0,2024,non_vegetasi,0.15751723084450442
0.1174,0.1208,0.102,0.2106,0.2146,0.1667,0.34740883,-0.27097163,0.009407322,-0.017685397,0,2024,non_vegetasi,0.4255600845262294
0.04095,0.0641,0.05495,0.3008,0.1934,0.1267,0.6910752,-0.64867085,-0.21732093,-0.15827826,0,2024,non_vegetasi,0.660420979511148
0.02355,0.04465,0.01815,0.3506,0.14615,0.0646,0.90155935,-0.77406704,-0.41157526,-0.3897298,0,2024,non_vegetasi,0.7467661598392307
0.0507,0.0497,0.108,0.1262,0.2685,0.2248,0.077711366,-0.4349062,0.36052698,0.36067942,0,2024,non_vegetasi,0.6565413892603719
0.0835,0.096,0.092,0.1738,0.2269,0.1666,0.3077502,-0.28836176,0.13251807,0.10690731,0,2024,non_vegetasi,0.8539957153292581
0.0468,0.0772,0.075,0.32,0.2198,0.1359,0.62025315,-0.61127895,-0.1856243,-0.10882708,0,2024,non_vegetasi,0.6338779815041445
0.1502,0.1754,0.1682,0.231,0.2551,0.2031,0.15731464,-0.13681103,0.049578287,0.052330654,0,2024,non_vegetasi,0.20356864069448344
0.05945,0.0583,0.0731,0.1191,0.1916,0.1554,0.23933402,-0.3427283,0.23334406,0.19435984,0,2024,non_vegetasi,0.16580588165083587
0.0703,0.06665,0.1113,0.1462,0.24365,0.21715,0.13553399,-0.37373737,0.24996795,0.24227843,0,2024,non_vegetasi,0.6463188899566044
0.1025,0.1042,0.1109,0.1132,0.2098,0.1961,0.010263283,-0.04139836,0.29907122,0.19574945,0,2024,non_vegetasi,0.019689045013454032
0.1974,0.2032,0.1972,0.22,0.2951,0.2645,0.054650046,-0.039697547,0.14579694,0.08233484,0,2024,non_vegetasi,0.4838299165974619
0.0626,0.0768,0.0807,0.1262,0.2261,0.2199,0.219913,-0.24334975,0.28356513,0.23809522,0,2024,non_vegetasi,0.6168909603264757
0.0552,0.0696,0.078,0.1722,0.1931,0.1467,0.3764988,-0.4243176,0.05721328,0.08766302,0,2024,non_vegetasi,0.31063053293243437
0.1418,0.1452,0.16,0.199,0.4097,0.3724,0.10863511,-0.15630448,0.34614754,0.25140032,0,2024,non_vegetasi,0.6043697695483589
0.07815,0.0982,0.1815,0.2415,0.274,0.23885,0.14184397,-0.4218428,0.063045554,0.17525639,0,2024,non_vegetasi,0.6455069879789828
0.0726,0.0744,0.09405,0.1446,0.20795,0.1637,0.21181649,-0.32054797,0.17969081,0.16332819,0,2024,non_vegetasi,0.3646445955170655
0.1278,0.137,0.1422,0.2208,0.2538,0.2104,0.21652894,-0.23420908,0.06953225,0.063658334,0,2024,non_vegetasi,0.0029967243672635036
0.0884,0.1035,0.09315,0.1646,0.2013,0.1607,0.2772066,-0.22790003,0.10030062,0.07571467,0,2024,non_vegetasi,0.7178231837119058
0.1462,0.2142,0.2634,0.374,0.4196,0.2987,0.17351745,-0.2716763,0.05745967,0.13530584,0,2024,non_vegetasi,0.25026304853416004
0.11345,0.1276,0.1253,0.1624,0.1491,0.10235,0.12895377,-0.12000003,-0.042696632,-0.0026351563,0,2024,non_vegetasi,0.6738090243252641
0.1478,0.1398,0.1118,0.2468,0.1347,0.0842,0.37646404,-0.27677187,-0.2938401,-0.2310092,0,2024,non_vegetasi,0.09972204526873174
0.1096,0.1508,0.1398,0.3404,0.25095,0.1578,0.41774264,-0.38599348,-0.15126406,-0.0704728,0,2024,non_vegetasi,0.54857254512234
0.0706,0.0993,0.0904,0.3172,0.2743,0.1838,0.55642784,-0.5231693,-0.07252746,-0.030697668,0,2024,non_vegetasi,0.6826772294394002
0.30835,0.3053,0.2773,0.4618,0.33195,0.25615,0.24962793,-0.20401514,-0.16359055,-0.11664491,0,2024,non_vegetasi,0.30635825058361976
0.054,0.0839,0.0542,0.336,0.225,0.1319,0.7221937,-0.6003811,-0.19786097,-0.16557084,0,2024,non_vegetasi,0.04900634719880803
0.1252,0.1385,0.1282,0.1732,0.2896,0.2679,0.14930326,-0.111324966,0.25151256,0.16671322,0,2024,non_vegetasi,0.7165562989481745
